X,Y,OBJECTID,Road_System,Route_Num,Route_Section,Milepost,Date_Time,Time_of_Day,City,County,Location_1,Location_Link,Location_2,Latitude,Longitude,Unique_Crash_ID,Intersection_ID,Severity,Uninjured,Level_C_Injuries,Level_B_Injuries,Level_A_Injuries,Fatalities,Agency_Name,Report_Id,Crash_Location,Road_Description,Vehicles,Road_Contour,Road_Cond,Lighting_Cond,Weather,Limit1,Limit2,Limit3,Ramp_Id,Crash_Type,Fixed_Object,Event1,Event2,Event3,Mhe,Animal_Species,Veh1_Dir,Veh1_Type,Driver1_Cond,Veh1_Human_Contr_Factor,Veh1_Speed,Veh1_Movement,Driver1_State,Veh1_HAZMAT,Driver1_Belt,Veh1_Cycle_Prot,Driver1_Inj_Level,Veh2_Dir,Veh2_Type,Driver2_Cond,Veh2_Human_Contr_Factor,Veh2_Speed,Veh2_Movement,Driver2_State,Veh2_HAZMAT,Driver2_Belt,Veh2_Cycle_Prot,Driver2_Inj_Level,Veh3_Dir,Veh3_Type,Driver3_Cond,Veh3_Human_Contr_Factor,Veh3_Speed,Veh3_Movement,Driver3_State,Veh3_HAZMAT,Driver3_Belt,Veh3_Cycle_Prot,Driver3_Inj_Level,Sum_of_Minor_and_Severe,Sum_of_Severe,Bicycle_Involved,Pedestrian_Involved,Motorcycle_Involved,Impairment_Involved,Helmet_Involved,Corridor_1,Corridor_2,Serial_No,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-105.258758999601,40.0080879986634,765755,State Highway,36,B,37.04,2021/01/06 12:13:00+00,1213,BOULDER,BOULDER,28TH ST,00025FS,COLORADO AVE,40.00809451,-105.25876892,3217214,1247,No Injury (PDO),3,0,0,0,0,BLDPD,,On Road,Intersection Related,2,Straight On Grade,Dry,Daylight,None,35,35,,,Rear End,FO:No,Rear End,,,Rear End,,North,Pickup Truck/Utility Van,No Impairment Suspected,Driver Preoccupied,15,Going Straight,NS,No,Yes,,No Injury (PDO),North,SUV,No Impairment Suspected,No Apparent Contributing Factor,0,Stopped in Traffic,CO,No,Yes,,1,Unknown,,,,,,0,,No,,,0,0,,,,,,,,50422,{B12A6C70-995E-4EDD-A40C-E605DC74C7D7},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.258443000508,40.0173989994335,765756,State Highway,36,B,36.34,2021/12/17 15:27:00+00,1527,BOULDER,BOULDER,28TH ST,00025FS,CANYON BLVD,40.01740551,-105.25845292,3219185,1260,No Injury (PDO),3,0,0,0,0,BLDPD,,On Road,Intersection Related,3,Straight On Level,Dry,Daylight,None,35,35,35,,Rear End,FO:No,Rear End,Rear End,,Rear End,,South,Pickup Truck/Utility Van,No Impairment Suspected,No Apparent Contributing Factor,30,Going Straight,CO,No,Yes,,No Injury (PDO),South,SUV,No Impairment Suspected,No Apparent Contributing Factor,0,Stopped in Traffic,CO,No,Yes,,1,South,Passenger Car/Van,No Impairment Suspected,No Apparent Contributing Factor,0,Stopped in Traffic,CO,0,Yes,,1,0,0,,,,,,,,191501,{4B2B06B6-9E8F-42AF-9FFE-156BEEDB7D95},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.258419999883,40.03306299921,765757,State Highway,36,B,35.24,2021/08/22 10:10:00+00,1010,BOULDER,BOULDER,28TH ST,00030FN,GLENWOOD DR,40.03306951,-105.25842992,3218433,20997,Possible/Complaint of Injury (C,2,1,0,0,0,BLDPD,,On Road,Intersection Related,2,Straight On Level,Dry,Daylight,None,35,35,,,Rear End,FO:No,Rear End,,,Rear End,,South,SUV,No Impairment Suspected,Driver Preoccupied,25,Going Straight,CO,No,Yes,,No Injury (PDO),South,SUV,No Impairment Suspected,No Apparent Contributing Factor,0,Stopped in Traffic,CO,No,Yes,,2,Unknown,,,,,,0,0,No,,,1,0,,,,,,,,158513,{AF72B483-A258-4F08-B807-96669DDA25D9},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.258446999874,40.036720999266,765758,State Highway,36,B,34.99,2021/09/12 13:20:00+00,1320,BOULDER,BOULDER,28TH ST,00030FN,IRIS AVE,40.03672751,-105.25845692,3218559,1254,No Injury (PDO),4,0,0,0,0,BLDPD,,On Road,Intersection Related,2,Straight On Level,Dry,Daylight,None,35,35,,,Rear End,FO:No,Rear End,,,Rear End,,South,SUV,No Impairment Suspected,Unknown,25,Going Straight,MD,No,Yes,,No Injury (PDO),South,Passenger Car/Van,No Impairment Suspected,No Apparent Contributing Factor,10,Slowing,CO,No,Yes,,1,Unknown,,,,,,0,0,No,,,0,0,,,,,,,,164636,{3D5EA9F9-64DA-4EF5-91E0-98A7DAADF08B},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.258411000431,40.024411998742,765759,State Highway,36,B,35.84,2021/07/02 15:45:00+00,1545,BOULDER,BOULDER,28TH ST,00030FS,PINE ST,40.02441851,-105.25842092,3218122,1257,No Injury (PDO),1,0,0,0,0,BLDPD,,On Road,Intersection Related,2,Straight On Level,Dry,Daylight,None,35,35,,,Rear End,FO:No,Rear End,,,Rear End,,North,Passenger Car/Van,No Impairment Suspected,No Apparent Contributing Factor,30,Going Straight,TX,No,Yes,,No Injury (PDO),North,Passenger Car/Van,,No Apparent Contributing Factor,0,Stopped in Traffic,CO,No,No,,,Unknown,,,,,,0,,No,,,0,0,,,,,,,,141663,{B329D61A-3EA4-4A0B-B15B-B784E4B30AFE},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.258377999433,40.0272359988605,765760,State Highway,36,B,35.64,2021/08/20 18:10:00+00,1810,BOULDER,BOULDER,28TH ST,00030FS,BLUFF ST,40.02724251,-105.25838792,3218426,,PDO,0,0,0,0,0,BLDPD,,On Road,At Driveway Access,2,Straight On Level,Dry,Daylight,None,35,35,,,Broadside,FO:No,Broadside,,,Broadside,,East,SUV,Unknown,Unknown,12,Making Left Turn,CO,No,No,,,South,Passenger Car/Van,,No Apparent Contributing Factor,25,Going Straight,CO,No,No,,,Unknown,,,,,,0,0,No,,,0,0,,,,,,,,159941,{4D75C307-E97B-419E-900F-E068F1340A14},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.258465999684,40.0206469989068,765761,State Highway,36,B,36.11,2021/07/01 15:02:00+00,1502,BOULDER,BOULDER,28TH ST,00035FN,WALNUT ST,40.02065351,-105.25847592,3218113,20995,No Injury (PDO),3,0,0,0,0,BLDPD,,On Road,Intersection Related,2,Straight On Level,Dry,Daylight,None,35,35,,,Rear End,FO:No,Rear End,,,Rear End,,North,Pickup Truck/Utility Van,No Impairment Suspected,Driver Emotionally Upset,25,Going Straight,CO,No,Yes,,No Injury (PDO),North,Passenger Car/Van,No Impairment Suspected,No Apparent Contributing Factor,0,Stopped in Traffic,CO,No,Yes,,1,Unknown,,,,,,0,,No,,,0,0,,,,,,,,141677,{04F8DEDE-FFC4-45DF-A0F0-1CF14F21EA1F},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.258379999856,40.0275319993122,765762,State Highway,36,B,35.62,2021/08/19 17:40:00+00,1740,BOULDER,BOULDER,28TH ST,00035FN,BLUFF ST,40.02753851,-105.25838992,3218413,20996,No Injury (PDO),2,0,0,0,0,BLDPD,,On Road,Intersection Related,2,Straight On Level,Dry,Daylight,None,35,35,,,Rear End,FO:No,Rear End,,,Rear End,,North,SUV,No Impairment Suspected,Driver Emotionally Upset,20,Going Straight,CO,No,Yes,,No Injury (PDO),North,SUV,No Impairment Suspected,No Apparent Contributing Factor,0,Slowing,CO,No,Yes,,1,Unknown,,,,,,0,,No,,,0,0,,,,,,,,157731,{1AD67A07-AA6B-48CD-9664-FFA24DCFBA21},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.258468000212,40.0204099993088,765763,State Highway,36,B,36.13,2021/04/10 17:52:00+00,1752,BOULDER,BOULDER,28TH ST,00035FS,WALNUT ST,40.02041651,-105.25847792,3217655,20995,No Injury (PDO),4,0,0,0,0,BLDPD,,On Road,Intersection Related,2,Straight On Level,Dry,Daylight,None,35,35,,,Rear End,FO:No,Rear End,,,Rear End,,North,SUV,No Impairment Suspected,Driver Emotionally Upset,20,Going Straight,CO,No,Yes,,No Injury (PDO),North,Passenger Car/Van,No Impairment Suspected,No Apparent Contributing Factor,0,Going Straight,CO,No,Yes,,1,Unknown,,,,,,0,,No,,,0,0,,,,,,,,126056,{E3FDC27D-3065-4096-8D79-7408678D91ED},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.258444999944,40.0172809992988,765764,State Highway,36,B,36.35,2021/07/17 15:57:00+00,1557,BOULDER,BOULDER,28TH ST,00035FS,CANYON BLVD,40.01728751,-105.25845492,3218215,1260,No Injury (PDO),2,0,0,0,0,BLDPD,,On Road,Intersection Related,2,Straight On Level,Dry,Daylight,None,35,35,,,Rear End,FO:No,Rear End,,,Rear End,,South,Pickup Truck/Utility Van,No Impairment Suspected,Driver Emotionally Upset,20,Going Straight,CO,No,Yes,,No Injury (PDO),South,Pickup Truck/Utility Van,No Impairment Suspected,No Apparent Contributing Factor,5,Slowing,CO,No,Yes,,1,Unknown,,,,,,0,0,No,,,0,0,,,,,,,,146958,{B0E58DF6-04ED-4AAB-B062-C6081B48FA26},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.258511000154,40.0437249994259,765765,State Highway,36,B,34.51,2021/10/02 16:44:00+00,1644,BOULDER,BOULDER,28TH ST,00036FS,PALO PKWY,40.04373151,-105.25852092,3218725,,Evident Non-Incapacitating (B),2,0,1,0,0,BLDPD,,On Road,Non-Intersection,3,Straight On Level,Dry,Daylight,None,35,35,35,,Rear End,FO:No,Rear End,Rear End,,Rear End,,South,Passenger Car/Van,No Impairment Suspected,Driver Preoccupied,35,Going Straight,CO,No,No,,Evident Non-Incapacitating (B),South,SUV,No Impairment Suspected,No Apparent Contributing Factor,0,Stopped in Traffic,CO,No,No,,1,South,Passenger Car/Van,No Impairment Suspected,No Apparent Contributing Factor,0,Stopped in Traffic,FL,0,No,,1,1,0,,,,,,,,175045,{ED131691-252F-46E1-BEBE-8408EF7D6812},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.258536999782,40.0145289990661,765766,State Highway,36,B,36.54,2021/12/18 13:05:00+00,1305,BOULDER,BOULDER,28TH ST,00037FN,ARAPAHOE AVE,40.01453551,-105.25854692,3219193,1256,No Injury (PDO),9,0,0,0,0,BLDPD,,On Road,Intersection Related,2,Straight On Level,Dry,Daylight,None,35,35,,,Rear End,FO:No,Rear End,,,Rear End,,South,Pickup Truck/Utility Van,No Impairment Suspected,Unknown,30,Going Straight,CO,No,Yes,,No Injury (PDO),South,SUV,No Impairment Suspected,No Apparent Contributing Factor,0,Stopped in Traffic,CO,No,Yes,,1,Unknown,,,,,,0,0,No,,,0,0,,,,,,,,191502,{EE10930A-D6ED-4C98-8973-BC05FF761F8D},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.258444999775,40.0364349990268,765767,State Highway,36,B,35.01,2021/12/04 14:01:00+00,1401,BOULDER,BOULDER,28TH ST,00040FN,IRIS AVE,40.03644151,-105.25845492,3219113,1254,No Injury (PDO),2,0,0,0,0,BLDPD,,On Road,Intersection Related,2,Straight On Level,Dry,Daylight,None,35,35,,,Overtaking Turn,FO:No,Overtaking Turn,,,Overtaking Turn,,South,Passenger Car/Van,No Impairment Suspected,Driver Emotionally Upset,10,Making Left Turn,CO,No,Yes,,No Injury (PDO),South,Passenger Car/Van,No Impairment Suspected,No Apparent Contributing Factor,5,Going Straight,CO,No,Yes,,1,Unknown,,,,,,0,0,No,,,0,0,,,,,,,,189588,{F2D312DE-157F-4CB3-9FE6-666ACCC4AD20},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.258536999782,40.0145289990661,765768,State Highway,36,B,36.54,2021/03/28 17:09:00+00,1709,BOULDER,BOULDER,28TH ST,00040FS,ARAPAHOE AVE,40.01453551,-105.25854692,3217593,1256,No Injury (PDO),1,0,0,0,0,BLDPD,,On Road,Intersection Related,3,Straight On Level,Dry,Daylight,None,35,35,35,,Rear End,FO:No,Rear End,Rear End,,Rear End,,North,Hit and Run - Unknown,Unknown,Unknown,30,Going Straight,0,No,No,,,North,Passenger Car/Van,No Impairment Suspected,No Apparent Contributing Factor,0,Stopped in Traffic,CO,No,Yes,,1,North,Hit and Run - Unknown,,No Apparent Contributing Factor,0,Stopped in Traffic,0,,No,,,0,0,,,,,,,,122978,{1A25370C-D098-45C2-8978-A73BDD6ABA28},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.258377999433,40.0272359988605,765769,State Highway,36,B,35.64,2021/04/24 15:17:00+00,1517,BOULDER,BOULDER,28TH ST,00040FS,BLUFF ST,40.02724251,-105.25838792,3217722,20996,No Injury (PDO),5,0,0,0,0,BLDPD,,On Road,Intersection Related,2,Straight On Level,Dry,Daylight,None,35,35,,,Rear End,FO:No,Rear End,,,Rear End,,North,Passenger Car/Van,No Impairment Suspected,Driver Preoccupied,25,Going Straight,CO,No,Yes,,No Injury (PDO),North,SUV,No Impairment Suspected,No Apparent Contributing Factor,0,Stopped in Traffic,CO,No,Yes,,1,Unknown,,,,,,0,,No,,,0,0,,,,,,,,121903,{DC34698D-EA07-4ED0-9192-779A57EB486E},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.258453999954,40.0221019989535,765770,State Highway,36,B,35.99,2021/06/01 10:07:00+00,1007,BOULDER,BOULDER,28TH ST,00040FS,PEARL ST,40.02210851,-105.25846392,3217916,1258,No Injury (PDO),2,0,0,0,0,BLDPD,,On Road,Intersection Related,2,Straight On Level,Dry,Daylight,None,35,35,,,Rear End,FO:No,Rear End,,,Rear End,,North,SUV,No Impairment Suspected,Driver Preoccupied,2,Going Straight,CO,No,Yes,,No Injury (PDO),North,SUV,No Impairment Suspected,No Apparent Contributing Factor,0,Stopped in Traffic,CO,No,Yes,,1,Unknown,,,,,,0,,No,,,0,0,,,,,,,,132087,{7D4B5C29-4683-4245-8BD4-54B1B38ABFCF},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.258377999433,40.0272359988605,765771,State Highway,36,B,35.64,2021/06/02 12:50:00+00,1250,BOULDER,BOULDER,28TH ST,00045FS,BLUFF ST,40.02724251,-105.25838792,3217922,20996,Possible/Complaint of Injury (C,1,1,0,0,0,BLDPD,,On Road,Intersection Related,2,Curve On Level,Dry,Unknown,None,35,35,,,Rear End,FO:No,Rear End,,,Rear End,,North,SUV,No Impairment Suspected,Driver Preoccupied,20,Going Straight,CO,No,Yes,,No Injury (PDO),North,Passenger Car/Van,No Impairment Suspected,No Apparent Contributing Factor,10,Stopped in Traffic,CO,No,Yes,,2,Unknown,,,,,,0,,No,,,1,0,,,,,,,,131711,{2D14EA8C-F83D-4ABC-B3C6-BE0C3B4592BB},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.258379999856,40.0275319993122,765772,State Highway,36,B,35.62,2021/08/19 17:40:00+00,1740,BOULDER,BOULDER,28TH ST,00050FN,BLUFF ST,40.02753851,-105.25838992,3218414,20996,Possible/Complaint of Injury (C,4,1,0,0,0,BLDPD,,On Road,Intersection Related,2,Straight On Level,Dry,Daylight,None,35,35,,,Rear End,FO:No,Rear End,,,Rear End,,North,Pickup Truck/Utility Van,No Impairment Suspected,Driver Emotionally Upset,15,Going Straight,CO,No,Yes,,No Injury (PDO),North,SUV,No Impairment Suspected,No Apparent Contributing Factor,0,Stopped in Traffic,CO,No,Yes,,2,Unknown,,,,,,0,,No,,,1,0,,,,,,,,159773,{EAE5D50B-B1B9-4E65-B32B-B0B229A25285},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.258393000404,40.029326998643,765773,State Highway,36,B,35.5,2021/08/28 10:46:00+00,1046,BOULDER,BOULDER,28TH ST,00050FN,VALMONT RD,40.02933351,-105.25840292,3218467,1255,No Injury (PDO),2,0,0,0,0,BLDPD,,On Road,Intersection Related,2,Straight On Level,Dry,Daylight,None,35,35,,,Rear End,FO:No,Rear End,,,Rear End,,South,Passenger Car/Van,No Impairment Suspected,No Apparent Contributing Factor,15,Slowing,CO,No,Yes,,No Injury (PDO),South,Passenger Car/Van,No Impairment Suspected,No Apparent Contributing Factor,0,Stopped in Traffic,CO,No,Yes,,1,Unknown,,,,,,0,0,No,,,0,0,,,,,,,,162856,{7589BD30-21CE-4706-8C21-1CC248DE42DE},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.258393000404,40.029326998643,765774,State Highway,36,B,35.5,2021/09/23 14:45:00+00,1445,BOULDER,BOULDER,28TH ST,00050FN,VALMONT RD,40.02933351,-105.25840292,3218651,1255,Possible/Complaint of Injury (C,1,1,0,0,0,BLDPD,,On Road,Intersection Related,2,Straight On Level,Dry,Daylight,None,35,35,,,Rear End,FO:No,Rear End,,,Rear End,,North,Passenger Car/Van,No Impairment Suspected,Driver Emotionally Upset,15,Going Straight,CO,No,Yes,,No Injury (PDO),North,SUV,No Impairment Suspected,No Apparent Contributing Factor,0,Stopped in Traffic,CO,No,Yes,,2,Unknown,,,,,,0,,No,,,1,0,,,,,,,,170557,{1E221EA7-7536-4062-9C34-01CBAAA202B7},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
